fold,history_window,model,MAE,RMSE,R2,training_time,inference_time,n_train,n_test,fold_test_start,fold_test_end
7,4,LightGBM,5.069987660018616,6.877648651608165,-0.38785531506415394,0.008841666996886488,0.00025624999761930667,737,13,2004-09-16,2004-12-09
8,4,Persistence (baseline),3.230769230769231,4.437601569801833,-0.526605504587156,0.0,0.0,750,13,2004-12-16,2005-03-12
8,4,XGBoost,3.392982189471905,4.0977327503134,-0.30171968537407445,0.019185750003089197,0.00026920900199911557,750,13,2004-12-16,2005-03-12
8,4,LightGBM,3.296594531257069,3.9611970428433043,-0.21641874314998244,0.008834583997668233,0.0002525409981899429,750,13,2004-12-16,2005-03-12
9,4,Persistence (baseline),3.5384615384615383,4.385290096535146,0.316365166175852,0.0,0.0,763,13,2005-03-19,2005-06-11
9,4,XGBoost,3.514154287484976,4.545508235206299,0.2654989430670005,0.019288375002361136,0.00028537499747471884,763,13,2005-03-19,2005-06-11
9,4,LightGBM,3.636520235031839,4.511157977647212,0.2765581984476181,0.009064166999451118,0.000267332998191705,763,13,2005-03-19,2005-06-11
10,4,Persistence (baseline),12.846153846153847,16.661794159555107,0.830135190911,0.0,0.0,776,13,2005-06-18,2005-09-10
10,4,XGBoost,17.47701336787297,21.779652423226196,0.7097569862443585,0.01947275000202353,0.00028941699929418974,776,13,2005-06-18,2005-09-10
10,4,LightGBM,16.478862861556525,21.333753993594904,0.7215197172771766,0.009200917000271147,0.0002542909969633911,776,13,2005-06-18,2005-09-10
11,4,Persistence (baseline),10.384615384615385,13.958730380881846,0.5238446411012783,0.0,0.0,789,13,2005-09-17,2005-12-10
11,4,XGBoost,12.04697902386005,19.117133075472186,0.10689531902831517,0.01983812500111526,0.00026979199901688844,789,13,2005-09-17,2005-12-10
11,4,LightGBM,9.216811103763408,11.628988600070109,0.6695233888536825,0.009240707997378195,0.0002596670019556768,789,13,2005-09-17,2005-12-10
12,4,Persistence (baseline),4.230769230769231,5.356520110324211,-0.05138768430182128,0.0,0.0,802,13,2005-12-17,2006-03-12
12,4,XGBoost,4.1699808560884914,4.905875060133749,0.11807760020521452,0.01986024999860092,0.000269042000581976,802,13,2005-12-17,2006-03-12
12,4,LightGBM,4.305229114347255,5.01901777029477,0.07692949805456162,0.009053750000020955,0.0002517079992685467,802,13,2005-12-17,2006-03-12
13,4,Persistence (baseline),2.1538461538461537,3.012793235010175,-0.5278884462151396,0.0,0.0,815,13,2006-03-19,2006-06-11
13,4,XGBoost,2.022295364966759,2.484501491943305,-0.03903820231691024,0.01969016699877102,0.0002696250012377277,815,13,2006-03-19,2006-06-11
13,4,LightGBM,2.3494571764569168,2.671648640317747,-0.2014665251849319,0.009060000000317814,0.00025224999990314245,815,13,2006-03-19,2006-06-11
14,4,Persistence (baseline),3.769230769230769,4.480727962834061,0.3590857574612769,0.0,0.0,828,13,2006-06-18,2006-09-10
14,4,XGBoost,3.0691767839285045,3.8024810843129075,0.5384307244015467,0.019705125003383728,0.00027179199969395995,828,13,2006-06-18,2006-09-10
14,4,LightGBM,2.97740511929968,3.6971175570852273,0.5636557194893418,0.009144958999968367,0.0002507919998606667,828,13,2006-06-18,2006-09-10
15,4,Persistence (baseline),7.615384615384615,9.515170074069172,-1.2621230041395628,0.0,0.0,841,13,2006-09-17,2006-12-10
15,4,XGBoost,6.6298472331120415,7.891208670927092,-0.5558587307349825,0.01973800000268966,0.00027587500153458677,841,13,2006-09-17,2006-12-10
15,4,LightGBM,6.582779285740695,7.813171324194932,-0.5252386454563154,0.009259458998712944,0.00025233300038962625,841,13,2006-09-17,2006-12-10
16,4,Persistence (baseline),4.3076923076923075,5.643239658755761,-1.1023437499999997,0.0,0.0,854,13,2006-12-17,2007-03-12
16,4,XGBoost,3.7771663665771484,4.428035152514534,-0.29440105769993963,0.020053874999575783,0.0004322080021665897,854,13,2006-12-17,2007-03-12
16,4,LightGBM,3.686039989587096,4.437866725427966,-0.3001553598748694,0.009954541998013156,0.00026758400053950027,854,13,2006-12-17,2007-03-12
17,4,Persistence (baseline),6.769230769230769,7.775701798650618,0.20209276901452455,0.0,0.0,867,13,2007-03-19,2007-06-11
17,4,XGBoost,5.763453483581543,7.094281189226409,0.3358135620009235,0.020099958001082996,0.00028037499942001887,867,13,2007-03-19,2007-06-11
17,4,LightGBM,5.802958484329974,6.997425663049298,0.353825531877772,0.009479915999691002,0.00026362499920651317,867,13,2007-03-19,2007-06-11
18,4,Persistence (baseline),12.153846153846153,17.47965850748983,0.6192147724255921,0.0,0.0,880,13,2007-06-18,2007-09-10
18,4,XGBoost,16.190053646381084,22.51578625350809,0.36818717313863025,0.020216042001266032,0.0002802079980028793,880,13,2007-06-18,2007-09-10
18,4,LightGBM,16.075598739109754,23.306684899298645,0.3230209742471606,0.009361958000226878,0.0002652910006872844,880,13,2007-06-18,2007-09-10
19,4,Persistence (baseline),19.0,26.911535987950767,0.6965839510151466,0.0,0.0,893,13,2007-09-17,2007-12-10
19,4,XGBoost,17.408718842726486,27.810829990674645,0.6759668242986558,0.020320583000284387,0.00027520799994817935,893,13,2007-09-17,2007-12-10
19,4,LightGBM,15.87719468421987,27.47010629374612,0.6838579562595477,0.009495415997662349,0.00027545899865799583,893,13,2007-09-17,2007-12-10
20,4,Persistence (baseline),2.769230769230769,3.328201177351375,0.6193574623830826,0.0,0.0,906,13,2007-12-17,2008-03-11
20,4,XGBoost,2.9583423687861514,3.9504847319539147,0.4637109179868305,0.02041224999993574,0.0002818329994624946,906,13,2007-12-17,2008-03-11
20,4,LightGBM,3.179961991197847,4.0477863348754,0.4369676612517528,0.009791541000595316,0.0002593749995867256,906,13,2007-12-17,2008-03-11
